date,open,high,low,close,volume
2020-06-05,19.9,20.51,19.45,19.6,1566400
2020-06-08,20.12,20.36,19.75,20.19,155100
2020-06-09,20.02,20.17,19.81,20.17,55800
2020-06-10,20.25,20.62,19.775,19.96,41600
2020-06-11,19.8,19.85,19.4,19.4,78700
2020-06-12,19.7,19.8,19.4,19.5,25500
2020-06-15,19.4,19.49,19.25,19.39,7900
2020-06-16,19.66,19.7,19.25,19.48,29000
2020-06-17,19.59,19.59,19.26,19.38,10600
2020-06-18,19.34,19.52,19.15,19.25,13700
2020-06-19,19.28,19.28,19.0,19.17,12800
2020-06-22,19.17,19.44,19.17,19.38,2700
2020-06-23,19.57,20.065,19.42,19.78,11800
2020-06-24,20.04,20.17,19.5,19.89,4800
2020-06-25,19.65,19.84,19.0,19.19,3900
2020-06-26,19.64,20.41,19.33,19.71,28400
2020-06-29,20.01,20.01,19.5,19.95,7200
2020-06-30,24.86,24.97,22.6,23.2,173000
2020-07-01,24.12,24.71,22.96,23.605,67500
2020-07-02,23.5,23.591,21.16,22.22,18000
2020-07-06,22.97,23.75,22.155,23.48,17100
2020-07-07,23.49,23.62,22.74,22.82,10900
2020-07-08,23.55,24.05,22.39,23.57,20000
2020-07-09,23.4,23.78,22.69,23.78,19900
2020-07-10,23.92,24.1,22.765,23.345,3500
2020-07-13,23.34,23.6,22.76,22.76,8400
2020-07-14,23.61,23.625,22.96,22.98,4200
2020-07-15,23.97,24.1,23.1,23.35,13100
2020-07-16,24.16,24.2,23.295,23.58,8200
2020-07-17,24.16,24.22,23.58,23.76,9000
2020-07-20,25.1,25.65,24.61,24.82,25200
2020-07-21,25.03,25.559,24.84,25.1,7100
2020-07-22,25.63,28.38,24.92,25.69,20300
2020-07-23,25.35,25.35,24.06,24.08,7000
2020-07-24,24.16,24.465,23.68,23.69,7200
2020-07-27,24.16,24.6,23.67,24.05,10600
2020-07-28,24.38,24.39,23.71,23.82,6900
2020-07-29,24.12,24.2,20.85,21.61,51200
2020-07-30,22.4,23.02,22.075,22.54,32100
2020-07-31,23.0,23.16,22.345,22.85,11700
2020-08-03,23.37,23.43,22.45,22.86,6300
2020-08-04,22.63,22.87,22.41,22.44,7300
2020-08-05,22.77,23.49,22.44,23.49,3100
2020-08-06,22.91,22.91,21.81,21.91,4800
2020-08-07,22.46,22.7,21.6,22.17,5700
2020-08-10,23.55,23.86,22.31,23.25,12500
2020-08-11,23.53,23.53,22.35,22.43,20600
2020-08-12,23.0,23.47,22.75,23.06,9000
2020-08-13,23.31,23.575,22.03,22.03,7000
2020-08-14,24.16,24.39,23.505,23.6,12000
2020-08-17,24.7,25.25,23.82,24.03,36400
2020-08-18,24.16,24.45,23.62,24.075,15700
2020-08-19,24.62,24.654,23.7,24.3,19100
2020-08-20,23.68,25.99,23.095,24.33,17100
2020-08-21,24.33,24.33,21.0,22.47,172900
2020-08-24,23.04,23.44,22.467,22.66,36200
2020-08-25,23.46,23.69,22.67,23.44,30000
2020-08-26,23.44,23.755,22.54,23.13,29600
2020-08-27,23.88,24.0,23.13,23.49,43000
2020-08-28,23.71,23.93,23.17,23.34,16900
2020-08-31,24.07,24.28,22.02,22.71,84200
2020-09-01,23.56,23.69,22.77,22.85,61600
2020-09-02,23.25,23.32,22.57,23.04,79100
2020-09-03,23.28,23.28,22.352,22.49,43100
2020-09-04,22.42,23.12,21.75,22.47,38400
2020-09-08,22.74,22.79,21.77,22.5,122400
2020-09-09,22.92,25.02,22.325,22.65,219200
2020-09-10,22.77,22.89,22.31,22.5,24400
2020-09-11,22.58,22.8,22.24,22.54,55000
2020-09-14,22.999,23.17,22.55,22.79,23100
2020-09-15,23.26,23.29,22.71,22.71,14100
2020-09-16,23.68,23.68,22.98,23.44,36600
2020-09-17,23.78,26.81,23.69,24.8,38500
2020-09-18,24.73,25.91,23.59,23.8,22100
2020-09-21,23.61,26.59,23.16,24.5,67300
2020-09-22,23.61,25.0,23.27,24.5,17600
2020-09-23,24.15,24.15,22.89,23.42,18000
2020-09-24,22.88,23.48,22.4,22.6,10000
2020-09-25,22.34,25.45,22.315,23.42,61100
2020-09-28,23.22,26.27,22.62,24.0,117600
2020-09-29,23.7,24.3,23.36,23.42,36500
2020-09-30,23.77,24.21,23.73,24.0,21000
2020-10-01,23.85,24.48,23.75,24.08,51300
2020-10-02,23.18,24.71,23.095,23.53,22400
2020-10-05,24.22,26.35,23.01,24.99,98000
2020-10-06,24.81,24.96,24.1,24.61,26000
2020-10-07,24.61,25.76,24.61,25.09,15300
2020-10-08,26.57,27.23,25.82,25.93,330000
2020-10-09,27.02,28.63,26.944,28.26,79000
2020-10-12,28.45,30.0,28.44,29.24,65400
2020-10-13,28.33,29.99,27.47,29.57,131200
2020-10-14,28.5,32.07,27.61,29.5,165800
2020-10-15,27.57,31.0,27.53,29.23,163400
2020-10-16,28.35,30.14,27.36,28.99,112900
2020-10-19,27.84,29.62,27.47,27.6,128500
2020-10-20,28.31,28.44,27.42,27.88,59800
2020-10-21,27.47,27.87,26.84,27.04,89200
2020-10-22,26.88,27.4,26.73,27.34,20400
2020-10-23,26.74,26.795,25.96,26.0,64500
2020-10-26,25.543,25.88,25.05,25.27,21000
2020-10-27,24.97,26.02,24.66,25.09,47800
2020-10-28,23.7,24.45,23.23,23.46,37700
2020-10-29,23.34,24.01,23.34,23.75,23200
2020-10-30,23.9,24.0,23.297,23.34,6300
2020-11-02,23.53,24.03,23.35,23.69,9800
2020-11-03,24.23,24.5,23.97,24.23,7200
2020-11-04,24.98,26.05,24.95,25.7,21000
2020-11-05,25.98,25.99,25.51,25.51,4700
2020-11-06,25.76,26.25,24.745,25.17,56000
2020-11-09,37.9,38.0,32.11,33.95,751100
2020-11-10,34.22,35.495,33.45,34.66,108700
2020-11-11,35.25,36.1,33.5,33.5,150600
2020-11-12,34.5,34.7,32.7,32.7,132400
2020-11-13,32.77,33.22,32.35,32.5,118800
2020-11-16,32.69,33.77,32.69,32.96,72000
2020-11-17,32.55,32.84,32.43,32.53,22000
2020-11-18,32.88,33.19,32.72,32.76,33300
2020-11-19,32.74,32.85,32.41,32.62,14700
2020-11-20,32.7,33.0,32.6,33.0,17300
2020-11-23,32.665,32.75,32.23,32.23,4100
2020-11-24,31.99,32.41,31.81,32.3,6700
2020-11-25,32.52,33.0,32.52,32.68,17600
2020-11-27,32.66,33.35,32.66,33.17,27500
2020-11-30,35.86,36.65,35.56,36.65,51600
2020-12-01,36.42,36.43,35.33,35.95,14000
2020-12-02,34.78,34.78,33.81,34.15,41200
2020-12-03,34.104,34.15,33.63,33.63,13500
2020-12-04,34.04,34.19,33.76,33.91,27800
2020-12-07,34.08,34.55,33.89,34.55,2300
2020-12-08,33.66,34.71,33.56,34.71,3600
2020-12-09,34.57,34.61,33.77,33.77,1000
2020-12-10,33.57,33.95,33.2,33.93,1800
2020-12-11,33.35,33.5,32.98,33.49,3500
2020-12-14,34.0,34.39,33.52,33.6,5400
2020-12-15,33.92,34.76,33.63,34.74,2200
2020-12-16,33.986,34.43,33.986,34.43,800
2020-12-17,34.74,34.75,34.31,34.31,2500
2020-12-18,33.726,33.726,33.53,33.68,1700
2020-12-21,33.06,34.25,32.86,33.48,5200
2020-12-22,33.54,33.64,32.68,33.38,8500
2020-12-23,32.93,32.93,32.42,32.44,3200
2020-12-24,32.937,33.28,32.937,33.28,800
2020-12-28,33.19,33.53,32.75,33.53,2400
2020-12-29,33.99,34.01,33.24,33.34,7600
2020-12-30,33.93,34.15,33.38,33.97,4100
2020-12-31,33.57,33.62,33.57,33.62,1000
2021-01-04,32.41,32.41,32.41,32.41,100
