date,open,high,low,close,volume
2019-07-01,15.4,15.4,15.275,15.4,12300
2019-07-02,15.4,15.4,15.4,15.4,400
2019-07-03,15.5,15.5,15.5,15.5,200
2019-07-05,15.45,15.45,15.45,15.45,200
2019-07-08,15.5,15.5,15.5,15.5,1000
2019-07-09,15.45,15.6,15.45,15.6,31100
2019-07-10,16.0,17.0,16.0,16.83,1800
2019-07-11,16.47,16.5,16.01,16.5,14400
2019-07-12,16.5,19.0,16.5,17.23,46800
2019-07-15,17.35,17.4,17.05,17.35,5600
2019-07-16,17.32,17.35,17.3,17.3,3500
2019-07-17,17.05,17.2,17.0,17.0,4500
2019-07-18,16.45,16.51,15.75,16.5,1819900
2019-07-19,16.74,16.845,16.24,16.3,970200
2019-07-22,16.44,16.6,16.119,16.25,81100
2019-07-23,16.329,16.5,16.25,16.35,104700
2019-07-24,16.26,16.44,15.5,15.72,36100
2019-07-25,15.81,15.81,15.14,15.62,44300
2019-07-26,15.43,15.43,14.65,14.74,77000
2019-07-29,14.84,14.85,13.8,14.25,61200
2019-07-30,14.36,14.9,14.07,14.5,109200
2019-07-31,14.7,15.04,14.48,14.96,10600
2019-08-01,15.33,15.59,14.0,14.99,34700
2019-08-02,15.57,15.58,14.48,14.75,34800
2019-08-05,14.58,14.585,13.93,14.0,113800
2019-08-06,14.11,14.4,13.401,13.85,122200
2019-08-07,13.86,14.0,13.52,13.8,217600
2019-08-08,13.87,15.38,12.87,13.0,203800
2019-08-09,12.98,13.378,12.725,12.87,99500
2019-08-12,14.12,15.39,13.2,13.25,742200
2019-08-13,13.38,13.9,13.07,13.1,532800
2019-08-14,13.263,13.585,13.03,13.46,586600
2019-08-15,13.95,14.68,13.28,13.39,374700
2019-08-16,13.32,13.49,13.12,13.25,604100
2019-08-19,13.4,13.719,13.11,13.15,463500
2019-08-20,13.29,13.43,13.15,13.25,410400
2019-08-21,13.25,13.25,12.9,12.97,176800
2019-08-22,13.27,13.27,12.93,12.97,675600
2019-08-23,12.98,13.38,12.93,13.07,354200
2019-08-26,13.07,13.45,12.93,13.21,178000
2019-08-27,13.16,13.47,13.0,13.1,264300
2019-08-28,13.07,13.68,13.07,13.24,338200
2019-08-29,13.2,13.82,13.1,13.72,332500
2019-08-30,13.64,13.93,13.46,13.8,140400
2019-09-03,13.78,13.94,13.61,13.91,298100
2019-09-04,13.95,14.195,13.61,13.98,348600
2019-09-05,14.07,14.28,13.51,13.86,316300
2019-09-06,13.9,14.0,13.56,13.93,311100
