date,open,high,low,close,volume
2020-10-19,9.7,9.7,9.7,9.7,50000
2020-10-20,9.7,9.7,9.7,9.7,0
2020-10-21,9.695,9.695,9.695,9.695,100
2020-10-22,9.695,9.695,9.695,9.695,0
2020-10-23,9.69,9.69,9.65,9.69,6700
2020-10-26,9.81,10.51,9.6,9.775,428400
2020-10-27,9.675,9.75,9.675,9.75,1300
2020-10-28,9.68,9.68,9.68,9.68,100
2020-10-29,9.6,9.74,9.6,9.7,1700
2020-10-30,9.7,9.7,9.7,9.7,0
2020-11-02,9.7,9.7,9.7,9.7,0
2020-11-03,9.61,9.74,9.61,9.687,2200
2020-11-04,9.687,9.687,9.687,9.687,0
2020-11-05,9.67,9.69,9.65,9.667,5200
2020-11-06,9.72,9.72,9.69,9.69,1000
2020-11-09,9.8,9.8,9.7,9.7,78800
2020-11-10,9.69,9.74,9.69,9.74,352700
2020-11-11,9.74,9.74,9.74,9.74,0
2020-11-12,9.79,9.83,9.66,9.83,809600
2020-11-13,9.853,9.949,9.781,9.8,11300
2020-11-16,9.8,10.0,9.8,10.0,315500
2020-11-17,10.0,10.0,9.75,9.92,66100
2020-11-18,9.9,9.94,9.9,9.9,59800
2020-11-19,9.95,10.1,9.9,9.9,275000
2020-11-20,9.9,10.41,9.89,9.98,84900
2020-11-23,10.0,10.18,9.89,9.96,303000
2020-11-24,9.96,10.0,9.95,9.95,27900
2020-11-25,9.95,9.95,9.95,9.95,100
2020-11-27,10.02,10.05,9.9,10.01,6500
2020-11-30,10.13,10.13,9.955,9.985,888400
2020-12-01,10.86,10.915,10.26,10.35,12387700
2020-12-02,10.25,10.37,10.15,10.24,2212700
2020-12-03,10.31,10.39,10.23,10.3,1578800
2020-12-04,10.5,10.93,10.32,10.48,1823700
2020-12-07,10.84,10.9,10.41,10.49,3368900
2020-12-08,10.691,10.79,10.32,10.49,2090400
2020-12-09,10.612,10.69,10.38,10.54,2061200
2020-12-10,10.53,10.64,10.27,10.38,4143300
2020-12-11,10.48,10.83,10.396,10.49,2478200
2020-12-14,10.61,10.7,10.41,10.5,1878500
2020-12-15,10.4,10.436,10.32,10.37,967800
2020-12-16,10.38,10.43,10.34,10.4,1794700
2020-12-17,10.32,10.49,10.3,10.41,563500
2020-12-18,10.49,10.68,10.38,10.6,1591300
2020-12-21,10.49,11.35,10.4,11.2,2083400
2020-12-22,11.267,12.21,11.21,12.02,10963300
2020-12-23,11.95,12.23,11.79,12.21,2565200
2020-12-24,12.47,12.48,11.41,11.57,1808400
2020-12-28,11.997,12.099,11.66,11.9,1862300
2020-12-29,11.8,11.86,11.17,11.5,1484600
2020-12-30,11.38,11.674,11.26,11.39,906800
2020-12-31,11.25,11.25,10.95,11.02,956700
2021-01-04,11.14,11.352,10.734,10.91,1052000
