date,open,high,low,close,volume
2018-10-25,32.0,32.19,30.0,31.35,22912000
2018-10-26,30.7,31.21,29.75,31.09,5137200
2018-10-29,32.24,32.5,29.0,29.06,2144900
2018-10-30,29.0,29.4,27.59,28.68,2613400
2018-10-31,29.13,29.9,28.5,28.69,1985000
2018-11-01,28.98,29.88,28.5,29.42,1491700
2018-11-02,29.86,30.62,29.6,30.13,872700
2018-11-05,30.35,31.72,29.96,30.75,693800
2018-11-06,30.69,30.94,29.51,30.47,462700
2018-11-07,30.5,30.75,29.35,29.4,622500
2018-11-08,27.7,28.23,26.25,27.7,4920800
2018-11-09,28.55,28.59,27.0,27.37,2456900
2018-11-12,27.52,27.67,24.16,25.01,2864400
2018-11-13,25.09,25.89,24.75,24.8,620600
2018-11-14,25.0,25.3,23.37,23.44,2032200
2018-11-15,23.5,24.82,23.12,24.64,1079200
2018-11-16,24.64,25.9,24.52,25.31,1486700
2018-11-19,24.74,25.0,21.8,22.0,3321500
2018-11-20,21.4,21.75,20.05,21.22,2460800
2018-11-21,21.6,22.72,21.6,22.34,1143800
2018-11-23,22.25,22.25,21.09,21.84,723000
2018-11-26,21.9,22.29,21.27,21.7,1261300
2018-11-27,22.68,25.75,22.25,22.78,4637000
2018-11-28,23.06,24.48,22.7,24.03,2246500
2018-11-29,24.04,24.37,23.47,23.85,1895100
2018-11-30,23.51,24.04,22.37,23.57,1549500
2018-12-03,24.33,24.5,22.48,22.53,1777300
2018-12-04,22.42,23.0,21.7,22.09,1182100
2018-12-06,21.52,22.02,21.25,21.67,1556100
2018-12-07,21.86,22.41,20.3,20.76,1346300
2018-12-10,20.73,21.04,19.65,19.87,1518900
2018-12-11,20.2,21.05,20.2,20.59,2185300
2018-12-12,20.84,20.95,19.85,19.86,1578900
2018-12-13,20.05,20.15,18.21,18.54,1584400
2018-12-14,18.4,18.89,17.61,17.71,989200
2018-12-17,17.62,18.61,17.01,17.63,2990200
2018-12-18,17.75,18.66,17.71,18.45,991400
2018-12-19,18.44,18.94,17.9,18.12,1168600
2018-12-20,18.14,18.39,17.67,17.78,2110400
2018-12-21,18.0,18.07,16.43,16.99,1363400
2018-12-24,16.78,16.81,16.14,16.71,367600
2018-12-26,16.77,17.63,16.76,17.46,626800
2018-12-27,17.28,17.5,16.65,17.21,932400
2018-12-28,17.3,17.73,17.3,17.6,1162200
2018-12-31,17.82,18.68,17.6,18.44,914900
2019-01-02,18.29,19.22,17.99,19.07,1310500
2019-01-03,18.97,19.18,18.03,18.56,1291900
2019-01-04,18.86,20.15,18.75,19.99,1101500
2019-01-07,20.06,20.74,19.82,20.69,884100
2019-01-08,20.93,21.49,20.59,21.12,814700
2019-01-09,21.27,21.39,20.44,21.03,838300
2019-01-10,21.03,21.72,20.8,21.43,681100
2019-01-11,21.31,21.51,20.68,21.1,498100
2019-01-14,20.94,20.98,20.43,20.79,317600
2019-01-15,21.25,21.8,20.53,20.71,960600
2019-01-16,20.75,21.49,20.67,20.69,564500
2019-01-17,20.68,20.98,20.46,20.66,223600
2019-01-18,21.06,22.68,20.79,22.19,1281500
2019-01-22,22.2,23.41,22.2,22.86,1121400
2019-01-23,22.88,23.16,21.51,22.12,637500
2019-01-24,22.21,23.04,22.0,22.9,645800
2019-01-25,23.0,23.34,22.61,23.09,729200
2019-01-28,22.81,22.99,22.0,22.19,596400
2019-01-29,22.29,22.42,21.7,21.89,264100
2019-01-30,22.0,22.4,21.3,21.46,922900
2019-01-31,21.46,22.2,21.1,22.12,610800
2019-02-01,21.98,22.81,21.98,22.81,473500
2019-02-04,22.8,23.85,22.48,23.46,436900
2019-02-05,23.52,23.68,22.31,22.76,1218500
2019-02-06,22.76,23.03,21.2,21.38,1288700
2019-02-07,21.63,21.81,21.05,21.27,620700
2019-02-08,21.21,21.39,20.67,21.11,743600
2019-02-11,21.21,21.87,21.11,21.15,539500
2019-02-12,21.31,21.87,20.89,21.42,553500
2019-02-13,21.48,21.8,21.26,21.37,442000
2019-02-14,21.31,21.75,20.94,21.27,913800
2019-02-15,22.38,22.5,21.27,22.07,1241700
2019-02-19,22.48,23.59,22.23,23.46,1494500
2019-02-20,23.73,25.28,23.61,25.12,2361100
2019-02-21,25.18,25.72,24.22,24.43,1485200
2019-02-22,24.8,26.95,24.8,26.26,2732100
2019-02-25,27.05,29.44,26.83,29.35,2526000
2019-02-26,29.24,29.82,27.64,29.58,2804800
2019-02-27,29.59,32.25,29.59,32.2,3275700
2019-02-28,31.93,32.31,29.82,30.41,2737100
2019-03-01,30.9,31.68,30.81,31.13,1530500
2019-03-04,31.88,34.5,31.53,32.0,4216200
2019-03-05,32.48,33.23,31.51,32.19,2437400
2019-03-06,32.35,32.94,30.94,31.0,1615200
2019-03-07,30.79,31.1,28.25,29.03,2227200
2019-03-08,28.07,30.27,27.76,29.92,1993800
2019-03-11,30.65,32.71,30.18,31.97,3512500
2019-03-12,32.6,33.19,30.86,31.71,1912100
2019-03-13,31.76,32.5,30.51,30.76,1520300
2019-03-14,30.87,32.0,30.15,30.34,1041300
2019-03-15,31.27,32.91,30.57,32.51,3463800
2019-03-18,33.0,36.88,32.93,34.6,7019200
2019-03-19,42.61,43.91,39.51,40.97,15736000
2019-03-20,41.17,42.09,37.77,37.8,4246400
2019-03-21,39.22,44.21,39.1,42.95,5487400
